feat,lrp
TFs_and_others_ZNF664,-7.914343454561208e-05
TFs_and_others_RBM17,-5.671090526580258e-05
TFs_and_others_ZFX,-0.00010602808307147198
TFs_and_others_PDS5A,-7.868574902835984e-05
TFs_and_others_TP63,-0.00013811994138044554
TFs_and_others_ZBTB17,-7.941322627366316e-05
TFs_and_others_ZNF660,-6.79868748578107e-05
TFs_and_others_RAC1,-6.595511017811946e-05
TFs_and_others_ZMAT4,-6.177857251754977e-05
TFs_and_others_ATOH1,-6.635612728116532e-05
TFs_and_others_HDAC6,-5.820220626272876e-05
TFs_and_others_ZNF146,-7.070597337021214e-05
TFs_and_others_MXD3,-5.759671742012219e-05
TFs_and_others_ASXL1,-5.378881349049658e-05
TFs_and_others_HNRNPLL,-7.35692809431699e-05
TFs_and_others_ZNF768,-6.787735167040802e-05
Histone_H3R2me2,-7.27872212920956e-05
TFs_and_others_PHTF2,-4.947071955170319e-05
TFs_and_others_MYC,-9.772657320342439e-05
TFs_and_others_KDM4C,-6.969426739997204e-05
TFs_and_others_HMGN1,-7.383671572828682e-05
Histone_H3K18cr,-7.955547895777571e-05
TFs_and_others_SALL2,-6.751746227056766e-05
TFs_and_others_FOXB1,-5.767390009306663e-05
TFs_and_others_MYB,-7.60061735760754e-05
TFs_and_others_TOX,-6.351187234583749e-05
TFs_and_others_NFKB2,-7.502823250814127e-05
Histone_H2AK9ac,-4.88310814799857e-05
TFs_and_others_IGF1,-8.413303376144351e-05
TFs_and_others_KLF16,-6.107259260164268e-05
TFs_and_others_PBX4,-0.00011227541111513055
TFs_and_others_POLA1,-6.076732396124597e-05
TFs_and_others_PKNOX1,-8.942148761373904e-05
TFs_and_others_CBX3,-7.07574801230322e-05
TFs_and_others_pFM2,-8.381844022158082e-05
TFs_and_others_ZNF230,-5.2881645606958137e-05
TFs_and_others_ZNF764,-6.876195128349988e-05
TFs_and_others_ZNF169,-5.6750555172670914e-05
TFs_and_others_CUX1,-7.580536494231554e-05
Histone_H2AK5ac,-6.420818648271846e-05
TFs_and_others_DMAP1,-7.533300677410784e-05
TFs_and_others_TAF1C,-7.171945073064619e-05
TFs_and_others_SIPA1,-7.316905326682004e-05
TFs_and_others_ETV5,-8.863134488297526e-05
TFs_and_others_POLR3C,-6.546776354126842e-05
TFs_and_others_BATF3,-0.00010771088699695215
TFs_and_others_ZNF816,-7.23862476904834e-05
Histone_H3K9Kac,-0.00010755452941617464
TFs_and_others_SUV39H1,-6.0270561681850266e-05
TFs_and_others_SMAD1,-9.604501665296233e-05
TFs_and_others_CBX7,-0.00022356798236464504
TFs_and_others_FXR1,-0.0001857755886771437
Histone_H3K27me3,-0.0006816002874694519
TFs_and_others_HBP1,-0.0002636465395402535
TFs_and_others_ZNF12,-0.00015888278329014078
TFs_and_others_CERS6,-8.74780276451656e-05
TFs_and_others_NFATC1,-4.493979339372379e-05
TFs_and_others_ZNF441,-6.366472656521016e-05
TFs_and_others_ZIC2,-4.950199968388921e-05
TFs_and_others_CPSF1,-8.002975635721426e-05
TFs_and_others_MIF,-4.768695727777909e-05
TFs_and_others_GTF2E2,-5.732610507115696e-05
Histone_H3.5,-4.863225809636199e-05
TFs_and_others_BPTF,-5.3441459144801476e-05
TFs_and_others_HSF2,-5.306430540842182e-05
TFs_and_others_MEPCE,-6.0673114778463264e-05
TFs_and_others_ISL2,-5.592177846796722e-05
TFs_and_others_TARDBP,-5.962384053318698e-05
TFs_and_others_MYCN,-6.421830044171708e-05
TFs_and_others_PPARG,-8.822729869331855e-05
TFs_and_others_ZNF766,-4.6526695816080394e-05
TFs_and_others_PALB2,-5.864245571652932e-05
TFs_and_others_PLAG1,-4.2263258853920597e-05
TFs_and_others_ZNF654,-8.371938227205517e-05
TFs_and_others_BMI1,-5.20742124234855e-05
TFs_and_others_RUNX1,-0.00011967541399005568
TFs_and_others_HOXB2,-7.647001709432025e-05
TFs_and_others_C10orf12,-5.82645542685732e-05
TFs_and_others_ZNF225,-6.946682168072707e-05
TFs_and_others_ZNF446,-5.513350340023926e-05
TFs_and_others_ZNF404,-7.845990491487283e-05
TFs_and_others_ETV6,-7.624568913163228e-05
TFs_and_others_CTBP1,-0.0001066386029089773
TFs_and_others_ZNF552,-5.840244712592363e-05
TFs_and_others_ZNF260,-7.971065358957845e-05
TFs_and_others_BCL11A,-5.354990536288014e-05
TFs_and_others_MLXIP,-8.508074936559734e-05
TFs_and_others_MAFK,-0.0002892055898680524
TFs_and_others_SMC4,-0.00020269696511142165
Histone_H3K4me1,-0.0009071127868908158
TFs_and_others_SUPT20H,-0.0003401900945114017
Histone_H3K28ac,-0.00022071325514515174
TFs_and_others_SMN1,-7.309405233333873e-05
TFs_and_others_CASP8AP2,-6.183207818085188e-05
TFs_and_others_ZNF41,-7.709856229874285e-05
TFs_and_others_WDR61,-7.930397595378595e-05
TFs_and_others_PPARD,-8.640982039928534e-05
Histone_H3K31ac,-7.650752867296133e-05
TFs_and_others_DLX6,-9.575165098007831e-05
TFs_and_others_ZNF180,-8.439577775359136e-05
TFs_and_others_TAL1,-0.0001358737291877572
TFs_and_others_BHLHE41,-8.741608989588858e-05
TFs_and_others_JUND,-0.00010281715255855524
TFs_and_others_CHCHD3,-6.739398467577586e-05
TFs_and_others_MAML3,-7.65577915509396e-05
TFs_and_others_CDX4,-6.204318061661752e-05
TFs_and_others_CREM,-6.130385716785688e-05
TFs_and_others_ZSCAN18,-6.0250304992903756e-05
TFs_and_others_HNF1A,-7.288551653322005e-05
TFs_and_others_NCOA2,-6.297947997440977e-05
TFs_and_others_CNOT3,-8.8680306997012e-05
TFs_and_others_HK2,-7.302690755054966e-05
TFs_and_others_NANOG,-0.00017243138886365283
TFs_and_others_ZNF425,-9.581513407211961e-05
TFs_and_others_ZSCAN23,-7.992870942862088e-05
TFs_and_others_MLLT10,-5.3290774383820495e-05
TFs_and_others_TP53BP1,-8.880174733385606e-05
TFs_and_others_FAM208A,-6.932266936178079e-05
